false_index,ra_deg,dec_deg,dx_arcsec,dy_arcsec,peak_snr
152,150.11737389781902,2.368837261693174,-0.4,0.19999999999999984,3.5954033702122326
153,150.12106640494324,2.370382526280579,-0.4,0.19999999999999984,3.3627503774290286
154,150.1168360703179,2.37121972583124,-0.4,-1.1102230246251565e-16,3.0140808824426286
155,150.1180077632797,2.369911093370656,0.2999999999999998,-1.1102230246251565e-16,3.82384386348817
156,150.12178952832355,2.369828068682949,0.09999999999999987,-0.10000000000000009,3.510038024453671
157,150.11773878220217,2.3709113692494066,-1.1102230246251565e-16,-0.20000000000000007,3.6297127053402605
158,150.12029347086394,2.369885882370649,-1.1102230246251565e-16,0.3999999999999998,3.1267233734876743
159,150.120898586386,2.373553719333126,-0.20000000000000007,-1.1102230246251565e-16,3.579182307319007
160,150.11798382273582,2.371655078355813,-0.20000000000000007,-0.4,3.075072285183955
161,150.12142562633696,2.3714636139334675,-0.30000000000000004,-0.30000000000000004,3.6690526467926174
162,150.11879179593808,2.3723924530060208,0.3999999999999998,-0.10000000000000009,4.762104448976374
163,150.12160564339652,2.3714931064915787,-0.4,-1.1102230246251565e-16,3.091464366946106
164,150.1174512835036,2.370247873565551,-0.20000000000000007,0.09999999999999987,3.6486739077883876
165,150.1197055124899,2.36892802529222,-0.30000000000000004,0.2999999999999998,3.9041649908722973
166,150.1205827445117,2.373006470535324,-0.10000000000000009,-0.30000000000000004,3.286437584249814
167,150.11834637369296,2.3689372255304444,-1.1102230246251565e-16,-0.30000000000000004,4.720556574682041
168,150.12116305265593,2.3732308201564347,0.09999999999999987,0.3999999999999998,3.4941092236890254
169,150.1217518548863,2.370696926397223,-1.1102230246251565e-16,0.2999999999999998,3.5839218917307463
170,150.12004343963818,2.37320545050356,0.2999999999999998,0.2999999999999998,4.128837845034164
171,150.11688318609032,2.373394401202946,0.09999999999999987,-0.10000000000000009,7.122142223015786
172,150.11765640228992,2.3690282160033767,0.2999999999999998,-0.20000000000000007,4.044255342056836
173,150.1216611050744,2.372993423917958,0.2999999999999998,-0.30000000000000004,2.525505387135901
174,150.121784022673,2.372061510962338,0.09999999999999987,0.3999999999999998,2.5014453138623396
175,150.12175896746567,2.372442821137187,-0.10000000000000009,-1.1102230246251565e-16,2.254104649833913
176,150.11713481751949,2.373709181984309,-0.30000000000000004,-1.1102230246251565e-16,4.428310242719033
177,150.1186028912567,2.3725822093182574,-0.4,-0.20000000000000007,4.039015750364879
178,150.12089739970818,2.371188361363481,0.09999999999999987,-0.4,4.129320316140429
179,150.11725387625197,2.3736828947605217,0.3999999999999998,-1.1102230246251565e-16,3.7343229501483295
180,150.116926128245,2.371432642068581,-0.10000000000000009,-1.1102230246251565e-16,2.1602023000653836
181,150.11750136868793,2.37352856531832,-1.1102230246251565e-16,-1.1102230246251565e-16,4.487392009683985
182,150.12063921813674,2.370609760340756,0.19999999999999984,-1.1102230246251565e-16,2.5218662994989773
183,150.1195356052843,2.3734464364338623,0.3999999999999998,-0.30000000000000004,3.38158562559762
184,150.11709660229923,2.368955519417498,0.2999999999999998,-1.1102230246251565e-16,3.8495549023926356
185,150.12131526777054,2.373499745703554,-0.30000000000000004,-0.30000000000000004,3.382311781569726
186,150.1194071592584,2.372448607421074,-0.30000000000000004,0.19999999999999984,3.0588424923687434
