ID,ra,dec,z_sys,z_sys_source,z_lya,delta_v_kms,lya_snr,snr_flag,quality_flag,quality_reason,lya_sys_wave,lya_peak_wave,best_center,flux_fit,flux_fit_err,fwhm_ang,fwhm_kms,alpha_skew,mu,sigma,fit_success
47218,150.12884485728088,2.360174831111111,4.391688730551099,z_sys,4.403067411574958,632.6854021841932,3.4520984384402054,0,1,ok,6554.514239069055,6568.34696022933,6570.061,117.3400966238111,32.38301059134027,6.437025281899878,293.8627371637756,8.140075128595416,6566.915050523765,5.253400837207352,True
47283,150.1349070586344,2.36036375,3.7556398181133535,z_sys,3.7550470680143535,-37.36658282700558,27.649845111477184,1,1,ok,5781.288657685861,5780.5680691730095,5782.061,968.6203442520639,31.448264518568767,4.608161329516406,239.0512037047791,3.5139924207803768,5779.063189919643,3.400006855486899,True
47549,150.09679965725107,2.3608917633333335,3.231870179898798,z_sys,3.2295365647226344,-165.3170347737095,2.7363052335471068,0,1,ok,5144.557621597572,5141.720715636365,5140.061,78.4983490882454,31.136085988540266,3.5883106074179523,209.26284549075996,4.686621223511071,5140.6567398167235,2.7809407207485872,True
47664,150.13168715,2.3617497944444446,3.519489986483696,z_sys,3.5196778101506014,12.458954205122156,7.114734180237074,1,0,skew_pinned,5494.208391868636,5494.436723465782,5498.061,295.05369815688505,218.99244814958865,6.027661678049299,328.9182408155229,29.99998750059434,5493.910906170463,5.12864235117391,True
47736,150.1378752941347,2.3609134666666667,2.9871504317981623,z_sys,2.9888910199900733,130.87422241639635,1.2323928692941233,0,1,ok,4847.0591654240725,4849.175146271333,4853.061,99.48926603990586,2490.5165753780893,1.6838448135067665,104.11127718758097,5.1441862923288655,4848.696406079257,1.320332433179488,True
47750,150.12949332,2.3617853133333333,2.988601484137201,z_sys,2.9922991886162222,277.9279702753169,3.676747004644051,0,0,skew_pinned,4848.823166221072,4853.318354625083,4858.061,216.8757428642806,300.2235395471237,7.848456211398116,484.8723649016864,29.999999998998867,4852.633702061961,6.677867316889171,True
48086,150.08945162,2.3625202788888893,3.199436984326499,z_sys,3.215564102510098,1151.2944279822336,2.5776604371298752,0,1,ok,5105.129558736196,5124.734812498451,5125.061,107.46815161868707,46.31116812590443,8.48401688132617,496.3083646433916,0.00349706528562759,5124.7257869485775,3.6093173945129733,True
48121,150.0803971571723,2.36277555,4.517360727949767,z_sys,4.512352461613779,-272.1301994228032,2.8176163580689297,0,1,ok,6707.289916146694,6701.201517010023,6701.061,73.1272040227173,17.785923831623695,2.687448574399241,120.2287612982862,0.0013512890025580374,6701.198658022178,1.1433092392577606,True
48146,150.07960361563778,2.3626120255555554,3.155380571338563,z_sys,3.1471827521882654,-591.4366472853726,3.510288148845932,0,0,dv_out_of_band;skew_pinned,5051.571499159151,5041.605656352709,5047.061,193.29851934805723,326.6015108926452,7.971708312597912,474.0925567043323,29.99999999992104,5040.910252010546,6.782736498314814,True
48256,150.12647973569204,2.3631503266666667,3.4844627131972983,z_sys,3.48065682032456,-254.42913726210796,3.021882429264516,0,0,skew_pinned,5451.62678655256,5447.0000767639585,5451.061,156.800155273901,46.77902010418804,15.73639148872735,866.319195300453,29.999999999999503,5445.627327719198,13.38932543902553,True
