ID,ra,dec,z_sys,z_sys_source,z_lya,delta_v_kms,lya_snr,snr_flag,quality_flag,quality_reason,lya_sys_wave,lya_peak_wave,lya_peak_wave_vac,best_center,flux_fit,flux_fit_err,fwhm_ang,fwhm_kms,alpha_skew,mu,sigma,fit_success,n_mc_attempted,n_mc_success,lya_peak_repeat,lya_peak_err_mc,z_lya_err_mc,delta_v_err_lya_kms,delta_v_err_sys_kms,delta_v_err_kms,flux_fit_err_mc,fwhm_kms_err_mc,frac_alpha_at_bound,frac_sigma_at_bound,frac_mu_at_bound,_grade,n_criteria_failed,tier,skew_pinned,dv_out_of_band,pass_grade_a,pass_fwhm>100,pass_dv_err<120,pass_snr>2,pass_not_pinned_or_oob
45547,150.14623671,2.3543245244444444,4.4805,z_dja,4.483820636866796,181.6443551541365,15.534694532601272,1,1,ok,6662.479435,6664.675852522892,6666.516233619859,6667.061,604.3859954055614,36.882589019022845,8.44409970756169,379.9764692622615,4.82349725688912,6662.195192881176,6.569640998159207,True,500.0,500.0,6664.675852530696,0.5546697826735338,0.0004563894525018,24.965261521906125,,24.965261521906125,36.13192156287741,27.14779734291756,0.014,0.0,0.0,d,1,silver,False,False,False,True,True,True,True
45677,150.1413637674817,2.35503687,3.754906389376436,z_sys,3.757792108726655,181.94194086197948,5.246657225870278,1,0,skew_pinned,5780.397050373253,5782.3015440466015,5783.905132815732,5785.061,147.51255040612767,131.90735593986165,4.586807477440743,237.8383414671199,14.99999062980562,5781.6173773850505,3.85349645005979,True,500.0,498.0,5782.301544040578,0.7027896951157045,0.0005782636760088,36.45899090466301,1.2839987195273914,36.481593584957984,26.079604425069,63.49402468481495,0.5461847389558233,0.0,0.0,a,1,silver,True,False,True,True,True,True,False
45963,150.0888703774479,2.355855602222222,5.518194894913958,z_sys,5.548408236300703,1389.6074027784678,3.3959374028523097,0,0,dv_out_of_band,7923.973987900052,7958.514264023777,7960.703440623676,7955.061,107.31111198288536,39.47245761525435,11.913610931982475,448.7792930246761,2.051858290248141e-05,7958.501562946025,5.079160993283439,True,500.0,500.0,7958.501410223467,2.587183101549504,0.0021287700533457,97.90888690782944,4.726049935717858,98.02288346873412,41.23139987249645,216.16174680759232,0.636,0.006,0.002,a,1,silver,False,True,True,True,True,True,False
46008,150.12406824617432,2.355897825555556,4.4088,z_dja,4.41839537888478,531.8411147221872,3.644271243822777,0,0,skew_pinned,6575.315896000001,6585.161711415512,6586.980710248861,6587.061,87.41609519874706,75.48754819649616,4.35804409152388,198.4215104080575,14.99998303501157,6584.511667023709,3.661306370169218,True,500.0,498.0,6585.16171866306,0.7680272574476202,0.0006319426760708,35.02655823368667,,35.02655823368667,20.134249892255166,68.67480746976986,0.6244979919678715,0.0120481927710843,0.0,d,2,bronze,True,False,False,True,True,True,False
46091,150.11776606746682,2.35541026,3.1888448013842874,z_sys,3.203567745737697,1053.7100050226843,4.097456047535478,0,1,ok,5092.252959698837,5108.727415690595,5110.151201460946,5109.061,183.97462875488816,45.451635169676905,7.170183405117314,420.947346948247,1.3838654710854024,5106.498289904191,4.107960377802719,True,500.0,500.0,5108.727415198585,1.4414048411195013,0.0011860031210084,84.88134741236688,12.774881370214253,85.83729220194431,51.17159185120988,186.0209888605874,0.592,0.004,0.004,a,0,gold,False,False,True,True,True,True,True
46212,150.15076755129388,2.35677657,3.37388307430417,z_sys,3.3748053979515547,63.217435999915104,33.515138613622895,1,1,ok,5317.19843693935,5316.840452417998,5318.319678127767,5319.061,1946.5953662074169,55.26322578040115,8.197745770925394,462.4442114209109,4.662917897327441,5314.419110520408,6.328723038210333,True,500.0,500.0,5316.840452418287,0.2491036989451511,0.0002049652662766,14.048624514607972,2.654687089180312,14.297244989644147,57.566161862451416,14.82310930040926,0.0,0.0,0.0,a,0,gold,False,False,True,True,True,True,True
46887,150.0864819,2.359282,3.3249,z_dja,3.327995416688042,214.56740674751003,34.584149361955085,1,1,ok,5257.651183,5259.950128911081,5261.414188205152,5261.061,1439.515342308377,38.04700303872224,5.292441294849596,301.73874315821485,4.234671032258776,5258.303816065546,4.039021514905266,True,500.0,500.0,5259.950128912629,0.1422901688425675,0.0001170779009384,8.11557994400003,,8.11557994400003,37.25002227428504,9.29414368630423,0.0,0.0,0.0,d,1,silver,False,False,False,True,True,True,True
46979,150.16880099133834,2.3589189966666666,3.4614588551795977,z_sys,3.4640094882707864,171.39249485083457,23.50417053810447,1,1,ok,5423.661686476182,5425.254264997024,5426.762414606147,5426.061,806.2063478461474,33.30340586908949,6.585987847330216,364.07972108871365,1.7607212015576783,5423.069099276073,4.064408240967814,True,500.0,500.0,5425.254264902539,0.2400463114905395,0.0001975127990418,13.272081942990956,1.964022381563641,13.416614439445947,33.21174534712063,17.66219281354288,0.022,0.0,0.0,a,0,gold,False,False,True,True,True,True,True
47137,150.13685254,2.35927325,4.0384,z_dja,4.042687855528563,255.1339211766833,61.37322038770971,1,1,ok,6125.031728000001,6128.547976869067,6130.244345330408,6130.061,2662.4310316713263,41.2617279494507,7.424683435117004,363.3143653313935,5.804131277611319,6126.55129905285,5.914603397815674,True,500.0,500.0,6128.54797686904,0.1204399281321684,9.90994555254518e-05,5.896568227698649,,5.896568227698649,40.78145087429307,7.04371206246795,0.0,0.0,0.0,d,1,silver,False,False,False,True,True,True,True
47218,150.12884485728088,2.360174831111111,4.391688730551099,z_sys,4.404559956540286,715.6749340716194,3.4520984384402054,0,1,ok,6554.514239069055,6568.346924251562,6570.16140236733,6570.061,117.34113006211714,32.384017007870625,6.437428125588667,293.88113338288844,8.143466376934393,6566.914924933829,5.253729606985576,True,500.0,496.0,6568.346924246849,1.5606042846418582,0.0012840851913447,71.39860534109354,4.054533902448367,71.51363569151924,34.8692975397608,151.16935011238778,0.5907258064516129,0.032258064516129,0.0040322580645161,a,0,gold,False,False,True,True,True,True,True
