ID,ra,dec,z_sys,z_sys_source,z_lya,delta_v_kms,lya_snr,snr_flag,quality_flag,quality_reason,lya_sys_wave,lya_peak_wave,lya_peak_wave_vac,best_center,flux_fit,flux_fit_err,fwhm_ang,fwhm_kms,alpha_skew,mu,sigma,fit_success
47137,150.13685254,2.35927325,4.0384,z_dja,4.042687855528563,255.13392117668334,61.37322038770971,1,1,ok,6125.031728000001,6128.547976869067,6130.244345330408,6130.061,2662.4310316713263,41.2617279494507,7.424683435117004,363.31436533139345,5.804131277611319,6126.55129905285,5.914603397815674,True
47218,150.12884485728088,2.360174831111111,4.391688730551099,z_sys,4.404559956540286,715.6749340716194,3.4520984384402054,0,1,ok,6554.514239069055,6568.346924251562,6570.16140236733,6570.061,117.34113006211714,32.384017007870625,6.437428125588667,293.88113338288844,8.143466376934393,6566.914924933829,5.2537296069855755,True
47283,150.1349070586344,2.36036375,3.7556398181133535,z_sys,3.7563657841650917,45.76443031833844,27.649845111477184,1,1,ok,5781.288657685861,5780.568068041143,5782.171192835977,5782.061,968.6199518485727,31.44825224115387,4.608157147156817,239.05098673262486,3.5139918844796147,5779.0631901536035,3.400003769645296,True
47549,150.09679965725107,2.3608917633333335,3.231870179898798,z_sys,3.2307151273354773,-81.82577261511479,2.7363052335471068,0,1,ok,5144.557621597572,5141.720891557982,5143.15345884792,5140.061,78.51712336427052,31.14565995404791,3.5910394541015194,209.42201197569705,4.695229348294415,5140.656106603568,2.783055576928509,True
47664,150.13168715,2.3617497944444446,3.519489986483696,z_sys,3.521319951255734,121.38751025077921,7.114734180237074,1,0,skew_pinned,5494.208391868636,5494.9062785863025,5496.433025143058,5498.061,290.49183646888633,111.23447203123872,6.050235454450558,330.1444657336487,14.999999993838003,5494.0038274996095,5.082960416459685,True
47736,150.1378752941347,2.3609134666666667,2.9871504317981623,z_sys,2.990010606430137,215.0555385095538,1.2323928692941233,0,1,ok,4847.0591654240725,4849.181375974658,4850.536193918925,4853.061,99.51974363821404,2486.709098812753,1.6841541899639196,104.13041571689675,5.1220764526245,4848.695943296375,1.320575020718508,True
47750,150.12949332,2.3617853133333333,2.988601484137201,z_sys,2.993856234341067,394.9591068594215,3.676747004644051,0,0,skew_pinned,4848.823166221072,4853.855150409198,4855.211208401405,4858.061,215.16784776832807,58.46942782366686,7.91127708008753,488.7492258336916,14.999999999965398,4852.675106979185,6.646469967074184,True
48086,150.08945162,2.3625202788888893,3.199436984326499,z_sys,3.2167427817753573,1235.4388395889837,2.5776604371298752,0,0,dv_out_of_band,5105.129558736196,5124.739650324784,5126.167697520849,5125.061,107.59204953460971,46.318291567036255,8.486659868213792,496.46250891663504,0.0014850788050966937,5124.730621963222,3.610441788615574,True
48121,150.0803971571723,2.36277555,4.517360727949767,z_sys,4.51387541147458,-189.37887959927704,2.8176163580689297,0,1,ok,6707.289916146694,6701.202715390955,6703.052921467303,6701.061,73.13001012489939,24.14180672585593,2.681584651050798,119.96640468598572,4.527829787346303e-05,6701.199856558705,1.1432470170095326,True
48146,150.07960361563778,2.3626120255555554,3.155380571338563,z_sys,3.148599411491359,-489.2309004634309,3.510288148845932,0,0,dv_out_of_band;skew_pinned,5051.571499159151,5041.921832254749,5043.3278465677,5047.061,198.56889370707353,52.10916148259134,8.084201669587856,480.8012773742,14.999999999999932,5040.715995451092,6.791748419470687,True
